LineID,CulvertGroup,LineField,SortField,CXm,Cym,CZBateam,CZClavem,CZEjem,Lengthm,Diameterm,River,Reach,RS,Connection,Barrel,
42,AlcSecundIzq,21,1,1078736.56,1572613.47,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A22,
43,AlcSecundIzq,22,0,1078795.23,1572631.69,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A22,
44,AlcSecundIzq,22,1,1078735.98,1572615.61,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A23,
45,AlcSecundIzq,23,0,1078794.65,1572633.83,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A23,
46,AlcSecundIzq,23,1,1078735.40,1572617.75,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A24,
47,AlcSecundIzq,24,0,1078794.07,1572635.96,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A24,
48,AlcSecundIzq,24,1,1078734.82,1572619.88,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A25,
49,AlcSecundIzq,25,0,1078793.49,1572638.10,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A25,
50,AlcSecundIzq,25,1,1078734.24,1572622.02,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A26,
51,AlcSecundIzq,26,0,1078792.91,1572640.24,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A26,
52,AlcSecundIzq,26,1,1078733.66,1572624.16,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A27,
53,AlcSecundIzq,27,0,1078792.33,1572642.37,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A27,
54,AlcSecundIzq,27,1,1078733.08,1572626.30,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A28,
55,AlcSecundIzq,28,0,1078791.75,1572644.51,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A28,
56,AlcSecundIzq,28,1,1078732.50,1572628.43,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A29,
57,AlcSecundIzq,29,0,1078791.17,1572646.65,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A29,
58,AlcSecundIzq,29,1,1078731.92,1572630.57,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A30,
59,AlcSecundIzq,30,0,1078790.59,1572648.79,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A30,
60,AlcSecundIzq,30,1,1078731.34,1572632.71,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A31,
61,AlcSecundIzq,31,0,1078790.01,1572650.92,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A31,
62,AlcSecundIzq,31,1,1078730.76,1572634.84,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A32,
63,AlcSecundIzq,32,0,1078789.43,1572653.06,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A32,
64,AlcSecundIzq,32,1,1078730.18,1572636.98,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A33,
65,AlcSecundIzq,33,0,1078788.85,1572655.20,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A33,
66,AlcSecundIzq,33,1,1078729.60,1572639.12,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A34,
67,AlcSecundIzq,34,0,1078788.27,1572657.33,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A34,
68,AlcSecundIzq,34,1,1078729.02,1572641.26,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A35,
69,AlcSecundIzq,35,0,1078787.69,1572659.47,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A35,
70,AlcSecundIzq,35,1,1078728.44,1572643.39,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A36,
71,AlcSecundIzq,36,0,1078787.11,1572661.61,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A36,
72,AlcSecundIzq,36,1,1078727.86,1572645.53,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A37,
73,AlcSecundIzq,37,0,1078786.53,1572663.75,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A37,
74,AlcSecundIzq,37,1,1078727.28,1572647.67,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A38,
75,AlcSecundIzq,38,0,1078785.95,1572665.88,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A38,
76,AlcSecundIzq,38,1,1078726.70,1572649.80,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A39,
77,AlcSecundIzq,39,0,1078785.37,1572668.02,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A39,
78,AlcSecundIzq,39,1,1078726.12,1572651.94,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A40,
79,AlcSecundIzq,40,0,1078784.79,1572670.16,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A40,
80,AlcSecundIzq,40,1,1078725.54,1572654.08,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A41,
81,AlcSecundIzq,41,0,1078784.21,1572672.29,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A41,
82,AlcSecundIzq,41,1,1078724.96,1572656.22,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A42,
83,AlcSecundIzq,42,0,1078783.63,1572674.43,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A42,
84,AlcSecundIzq,42,1,1078724.38,1572658.35,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A43,
85,AlcSecundIzq,43,0,1078783.05,1572676.57,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A43,
86,AlcSecundIzq,43,1,1078723.80,1572660.49,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A44,
87,AlcSecundIzq,44,0,1078782.47,1572678.71,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A44,
88,AlcSecundIzq,44,1,1078723.22,1572662.63,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A45,
89,AlcSecundIzq,45,0,1078781.90,1572680.84,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A45,
90,AlcSecundIzq,45,1,1078722.64,1572664.76,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A46,
91,AlcSecundIzq,46,0,1078781.32,1572682.98,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A46,
92,AlcSecundIzq,46,1,1078722.06,1572666.90,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A47,
93,AlcSecundIzq,47,0,1078780.74,1572685.12,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A47,
94,AlcSecundIzq,47,1,1078721.48,1572669.04,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A48,
95,AlcSecundIzq,48,0,1078780.16,1572687.25,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A48,
96,AlcSecundIzq,48,1,1078720.90,1572671.18,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A49,
97,AlcSecundIzq,49,0,1078779.58,1572689.39,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A49,
98,AlcSecundIzq,49,1,1078720.32,1572673.31,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A50,
